X,Y,FID,OBJECTID,RANK,NAME,ADDRESS,ADDRESS2,CITY,STATES,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,PRC,COUNTYFIPS,PROFIT
-93.15133,45.06354,402,402,209,LAND O'LAKES,4001 LEXINGTON AVENUE NORTH,NOT AVAILABLE,ARDEN HILLS,MN,55126,RAMSEY,10000,13233,45.06354,-93.15133,ADDRESS,27123,244.9
-73.97776,40.75306,403,403,42,METLIFE,200 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10166,RICHMOND,58000,63476,40.75306,-73.97776,ADDRESS,36085,800
-73.9761,40.75439,404,404,266,VOYA FINANCIAL,230 PARK AVENUE,NOT AVAILABLE,NEW YORK,NY,10169,RICHMOND,6700,10782,40.75439,-73.9761,ADDRESS,36085,-428
-77.45263,37.534,405,405,238,DOMINION RESOURCES,120 TREDEGAR STREET,NOT AVAILABLE,RICHMOND,VA,23219,RICHMOND,16200,11737,37.534,-77.45263,ADDRESS,51159,2123
-79.95839,37.31775,406,406,292,ADVANCE AUTO PARTS,5008 AIRPORT ROAD,NOT AVAILABLE,ROANOKE,VA,24012,ROANOKE,57500,9568,37.31775,-79.95839,ADDRESS,51161,459.6
-90.42457,41.47632,407,407,105,DEERE,1 JOHN DEERE PLACE,NOT AVAILABLE,MOLINE,IL,61265,ROCK ISLAND,56767,26644,41.47632,-90.42457,ADDRESS,17161,1523.9
-90.56653,38.661306,408,408,246,REINSURANCE GROUP OF AMERICA,16600 SWINGLEY RIDGE ROAD,NOT AVAILABLE,CHESTERFIELD,MO,63017,ST LOUIS,2371,11522,38.661306,-90.56653,ON-ENTITY,29189,701.4
-90.33465,38.64954,409,409,66,CENTENE,7700 FORSYTH BOULEVARD,NOT AVAILABLE,SAINT LOUIS,MO,63105,ST LOUIS,30500,40721,38.64954,-90.33465,ADDRESS,29189,562
-90.33901,38.65149,410,410,420,GRAYBAR ELECTRIC,34 NORTH MERAMEC AVENUE,NOT AVAILABLE,SAINT LOUIS,MO,63105,ST LOUIS,8500,6385,38.65149,-90.33901,ADDRESS,29189,93.1
-90.33389,38.64849,411,411,467,OLIN,190 CARONDELET PLAZA,SUITE 1530,CLAYTON,MO,63105,ST LOUIS,6400,5551,38.64849,-90.33389,ADDRESS,29189,-3.9
-90.31114,38.71851,412,412,22,EXPRESS SCRIPTS HOLDING,1 EXPRESS WAY,NOT AVAILABLE,SAINT LOUIS,MO,63121,ST LOUIS,25600,100288,38.71851,-90.31114,ADDRESS,29189,3404.4
-90.44781,38.60453,413,413,404,JONES FINANCIAL,12555 MANCHESTER ROAD,NOT AVAILABLE,DES PERES,MO,63131,ST LOUIS,43000,6632,38.60453,-90.44781,ADDRESS,29189,746
-90.28532,38.73232,414,414,139,EMERSON ELECTRIC,8000 WEST FLORISSANT AVENUE,NOT AVAILABLE,SAINT LOUIS,MO,63136,ST LOUIS,103500,20268,38.73232,-90.28532,ADDRESS,29189,1635
-90.39977,38.66933,415,415,204,MONSANTO,800 NORTH LINDBERGH BOULEVARD,NOT AVAILABLE,SAINT LOUIS,MO,63167,ST LOUIS,22450,13502,38.66933,-90.39977,ADDRESS,29189,1336
-90.21103,38.6207,416,416,431,AMEREN,1901 CHOUTEAU AVENUE,NOT AVAILABLE,SAINT LOUIS,MO,63103,ST LOUIS (CITY),8629,6076,38.6207,-90.21103,ADDRESS,29510,653
-111.81899,40.75842,417,417,289,HUNTSMAN,500 HUNTSMAN WAY,NOT AVAILABLE,SALT LAKE CITY,UT,84108,SALT LAKE,15000,9657,40.75842,-111.81899,ADDRESS,49035,326
-117.16342,32.71931,418,418,280,SEMPRA ENERGY,101 ASH STREET,NOT AVAILABLE,SAN DIEGO,CA,92101,SAN DIEGO,16575,10183,32.71931,-117.16342,ADDRESS,6073,1370
-117.19576,32.89718,419,419,119,QUALCOMM,5775 MOREHOUSE DRIVE,NOT AVAILABLE,SAN DIEGO,CA,92121,SAN DIEGO,30500,23554,32.89718,-117.19576,ADDRESS,6073,5705
-122.40257,37.78877,420,420,5,MCKESSON,1 POST STREET,NOT AVAILABLE,SAN FRANCISCO,CA,94104,SAN FRANCISCO,68000,192487,37.78877,-122.40257,ADDRESS,6075,2258
-122.3927,37.79059,421,421,357,CHARLES SCHWAB,211 MAIN STREET,NOT AVAILABLE,SAN FRANCISCO,CA,94105,SAN FRANCISCO,16200,7644,37.79059,-122.3927,ADDRESS,6075,1889
-122.39103,37.79086,422,422,178,GAP,2 FOLSOM STREET,NOT AVAILABLE,SAN FRANCISCO,CA,94105,SAN FRANCISCO,135000,15516,37.79086,-122.39103,ADDRESS,6075,676
-122.39592,37.79146,423,423,157,PG&E CORP.,77 BEALE STREET,NOT AVAILABLE,SAN FRANCISCO,CA,94105,SAN FRANCISCO,24000,17666,37.79146,-122.39592,ADDRESS,6075,1393
-122.39486,37.79387,424,424,326,SALESFORCE.COM,1 MARKET STREET,SUITE 300,SAN FRANCISCO,CA,94105,SAN FRANCISCO,25000,8392,37.79387,-122.39486,ADDRESS,6075,179.6
-122.4024,37.7934,425,425,25,WELLS FARGO,420 MONTGOMERY STREET,NOT AVAILABLE,SAN FRANCISCO,CA,94163,SAN FRANCISCO,269100,94176,37.7934,-122.4024,ADDRESS,6075,21938
-122.1504,37.48229,426,426,98,FACEBOOK,1601 WILLOW ROAD,NOT AVAILABLE,MENLO PARK,CA,94025,SAN MATEO,17048,27638,37.48229,-122.1504,ADDRESS,6081,10217
-122.21504,37.42176,427,427,493,ROBERT HALF INTERNATIONAL,2884 SAND HILL ROAD,NOT AVAILABLE,MENLO PARK,CA,94025,SAN MATEO,16400,5250,37.42176,-122.21504,ADDRESS,6081,343.4
-122.26245,37.53073,428,428,81,ORACLE,500 ORACLE PARKWAY,NOT AVAILABLE,REDWOOD CITY,CA,94065,SAN MATEO,136000,37047,37.53073,-122.26245,ADDRESS,6081,8901
-122.383003,37.667391,429,429,247,CORE-MARK HOLDING,395 OYSTER POINT BOULEVARD,SUITE 415,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,7688,11507,37.667391,-122.383003,ON-ENTITY,6081,54.2
-122.29206,37.54322,430,430,405,FRANKLIN RESOURCES,1 FRANKLIN PARKWAY,NOT AVAILABLE,SAN MATEO,CA,94403,SAN MATEO,9059,6618,37.54322,-122.29206,ADDRESS,6081,1726.7
-122.28188,37.56714,431,431,92,GILEAD SCIENCES,333 LAKESIDE DRIVE,NOT AVAILABLE,FOSTER CITY,CA,94404,SAN MATEO,9000,30390,37.56714,-122.28188,ADDRESS,6081,13501
-122.27658,37.5592,432,432,187,VISA,900 METRO CENTER BOULEVARD,NOT AVAILABLE,FOSTER CITY,CA,94404,SAN MATEO,14200,15082,37.5592,-122.27658,ADDRESS,6081,5991
-121.92257,37.37627,433,433,264,PAYPAL HOLDINGS,2211 NORTH 1ST STREET,NOT AVAILABLE,SAN JOSE,CA,95131,SANTA CLARA,18100,10842,37.37627,-121.92257,ADDRESS,6085,1401
-122.08432,37.42202,434,434,27,ALPHABET,1600 AMPHITHEATRE PARKWAY,NOT AVAILABLE,MOUNTAIN VIEW,CA,94043,SANTA CLARA,72053,90272,37.42202,-122.08432,ADDRESS,6085,19478
-122.05465,37.39779,435,435,465,SYMANTEC,350 ELLIS STREET,NOT AVAILABLE,MOUNTAIN VIEW,CA,94043,SANTA CLARA,11000,5568,37.39779,-122.05465,ADDRESS,6085,2488
-122.01133,37.41266,436,436,468,NETAPP,495 EAST JAVA DRIVE,NOT AVAILABLE,SUNNYVALE,CA,94089,SANTA CLARA,12030,5546,37.41266,-122.01133,ADDRESS,6085,229
-122.0253,37.4179,437,437,498,YAHOO,701 1ST AVENUE,NOT AVAILABLE,SUNNYVALE,CA,94089,SANTA CLARA,8500,5169,37.4179,-122.0253,ADDRESS,6085,-214.3
-122.14572,37.41467,438,438,59,HEWLETT PACKARD ENTERPRISE,3000 HANOVER STREET,NOT AVAILABLE,PALO ALTO,CA,94304,SANTA CLARA,195000,50123,37.41467,-122.14572,ADDRESS,6085,3161
-122.14572,37.41467,439,439,61,HP,3000 HANOVER STREET,NOT AVAILABLE,PALO ALTO,CA,94304,SANTA CLARA,49000,48238,37.41467,-122.14572,ADDRESS,6085,2496
-122.15025,37.39455,440,440,383,TESLA,3500 DEER CREEK ROAD,NOT AVAILABLE,PALO ALTO,CA,94304,SANTA CLARA,30025,7000,37.39455,-122.15025,ADDRESS,6085,-674.9
-122.03042,37.33177,441,441,3,APPLE,1 INFINITE LOOP,NOT AVAILABLE,CUPERTINO,CA,95014,SANTA CLARA,116000,215639,37.33177,-122.03042,ADDRESS,6085,45687
-121.96263,37.25958,442,442,314,NETFLIX,100 WINCHESTER CIRCLE,NOT AVAILABLE,LOS GATOS,CA,95032,SANTA CLARA,3850,8831,37.25958,-121.96263,ADDRESS,6085,186.7
-121.92934,37.39015,443,443,414,SANMINA,2700 NORTH 1ST STREET,NOT AVAILABLE,MILPITAS,CA,95035,SANTA CLARA,40178,6481,37.39015,-121.92934,ADDRESS,6085,187.8
-121.96588,37.37173,444,444,387,NVIDIA,2788 SAN TOMAS EXPRESSWAY,NOT AVAILABLE,SANTA CLARA,CA,95051,SANTA CLARA,10299,6910,37.37173,-121.96588,ADDRESS,6085,1666
-121.9786,37.37749,445,445,265,APPLIED MATERIALS,3050 BOWERS AVENUE,NOT AVAILABLE,SANTA CLARA,CA,95054,SANTA CLARA,16150,10825,37.37749,-121.9786,ADDRESS,6085,1721
-121.96375,37.38851,446,446,47,INTEL,2200 MISSION COLLEGE BOULEVARD,NOT AVAILABLE,SANTA CLARA,CA,95054,SANTA CLARA,106000,59387,37.38851,-121.96375,ADDRESS,6085,10316
-121.92611,37.295143,447,447,310,EBAY,2025 HAMILTON AVENUE,NOT AVAILABLE,SAN JOSE,CA,95125,SANTA CLARA,12600,8979,37.295143,-121.92611,ON-ENTITY,6085,7266
-121.9537,37.40866,448,448,60,CISCO SYSTEMS,170 WEST TASMAN DRIVE,NOT AVAILABLE,SAN JOSE,CA,95134,SANTA CLARA,73700,49247,37.40866,-121.9537,ADDRESS,6085,10739
-97.28386,37.62239,449,449,393,SPIRIT AEROSYSTEMS HOLDINGS,3801 SOUTH OLIVER STREET,NOT AVAILABLE,WICHITA,KS,67210,SEDGWICK,14400,6793,37.62239,-97.28386,ADDRESS,20173,469.7
-90.05605,35.14201,450,450,270,AUTOZONE,123 SOUTH FRONT STREET,NOT AVAILABLE,MEMPHIS,TN,38103,SHELBY,66780,10636,35.14201,-90.05605,ADDRESS,47157,1241
